         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      534    0.009    0.000    0.030    0.000 asyncio.py:50(_start_timer)
    65792    0.009    0.000    0.009    0.000 http_websocket.py:110(<genexpr>)
     1068    0.009    0.000    0.091    0.000 job.py:289(__unicode__)
      564    0.009    0.000    0.018    0.000 base_events.py:379(create_task)
     1109    0.008    0.000    0.010    0.000 {function UTC.fromutc at 0x105f476a8}
       20    0.008    0.000    0.008    0.000 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    30846    0.008    0.000    0.008    0.000 trades.py:32(get_unique_indexes)
     1314    0.008    0.000    0.130    0.000 __init__.py:556(format)
      548    0.008    0.000    0.033    0.000 asyncio.py:39(_do_submit_job)
     1043    0.008    0.000    0.021    0.000 __init__.py:225(<listcomp>)
      111    0.008    0.000    0.008    0.000 {built-in method builtins.compile}
     2050    0.008    0.000    0.014    0.000 {built-in method _heapq.heappop}
      548    0.008    0.000    0.041    0.000 base.py:55(submit_job)
      525    0.008    0.000    0.064    0.000 http_websocket.py:551(_send_frame)
